STATION,EVENT,PRESSURE,SAMPLE_ID,Oxy_CTD_P,Oxy_CTD_S,Oxy_W_Rep1,Oxy_W_Rep2
HL_00,1,64.892,503022,6.8375,6.5999,
HL_00,1,64.954,503023,6.8268,6.6094,
HL_00,1,64.958,503024,6.8362,6.6005,
HL_00,1,64.942,503025,6.8329,6.5971,
HL_00,1,64.921,503026,6.8205,6.6033,
HL_00,1,64.907,503027,6.8183,6.5913,
HL_00,1,64.905,503028,6.8251,6.5984,
HL_00,1,64.924,503029,6.8199,6.6088,
HL_00,1,64.942,503030,6.8249,6.6011,
HL_00,1,64.930,503031,6.822,6.597,
HL_00,1,64.924,503032,6.8176,6.591,
HL_00,1,64.921,503033,6.8185,6.6029,
HL_01,4,84.016,503036,7.7467,7.5071,7.814
HL_01,4,61.102,503037,8.2068,7.9421,
HL_01,4,50.004,503038,8.2773,8.011,
HL_01,4,40.096,503039,8.3065,8.0352,
HL_01,4,30.124,503040,8.403,8.1266,
HL_01,4,20.003,503041,8.4602,8.1866,
HL_01,4,10.050,503042,8.5078,8.2161,8.496,8.49
HL_01,4,1.564,503043,8.4897,8.1958,
HL_02,9,142.424,503046,5.3649,5.2244,5.452,5.459
HL_02,9,98.670,503047,6.6812,6.4593,
HL_02,9,80.269,503048,7.0902,6.8623,
HL_02,9,60.787,503049,7.7309,7.4893,
HL_02,9,49.984,503050,7.7345,7.5083,
HL_02,9,39.989,503051,8.0987,7.8577,
HL_02,9,30.053,503052,8.5151,8.2549,
HL_02,9,20.087,503053,8.5828,8.3431,
HL_02,9,10.077,503054,8.7597,8.4913,8.711
HL_02,9,1.813,503055,6.5535,6.421,
HL_03,11,261.870,503057,4.0717,3.9702,4.169,4.196
HL_03,11,201.137,503058,4.061,3.9482,
HL_03,11,100.131,503059,5.3707,5.2352,
HL_03,11,80.164,503060,5.9573,5.7947,
HL_03,11,61.338,503061,7.0024,6.8009,
HL_03,11,50.199,503062,7.2561,7.0378,
HL_03,11,40.096,503063,7.5678,7.33,
HL_03,11,30.049,503064,7.6123,7.3881,
HL_03,11,19.915,503065,7.6358,7.4248,
HL_03,11,10.041,503066,7.627,7.4065,7.68
HL_03,11,2.805,503067,7.6384,7.4149,
HL_03.3,13,198.507,503069,3.9358,3.8371,4.055
HL_03.3,13,100.793,503070,5.5487,5.4099,
HL_03.3,13,80.387,503071,6.7136,6.5245,
HL_03.3,13,60.192,503072,7.445,7.2335,
HL_03.3,13,49.697,503073,7.5667,7.3411,
HL_03.3,13,40.040,503074,7.5728,7.3646,
HL_03.3,13,29.902,503075,7.6105,7.3895,
HL_03.3,13,20.209,503076,7.5407,7.3295,
HL_03.3,13,9.811,503077,7.5244,7.3227,7.589,7.587
HL_03.3,13,2.281,503078,7.5327,7.321,
HL_04,16,75.700,503080,6.0159,5.8513,6.106,6.08
HL_04,16,59.750,503081,7.2754,7.072,
HL_04,16,51.412,503082,7.4688,7.2656,
HL_04,16,40.075,503083,7.4399,7.2175,
HL_04,16,30.440,503084,7.4363,7.2081,
HL_04,16,20.304,503085,7.4402,7.2275,
HL_04,16,10.223,503086,7.442,7.2232,7.537
HL_04,16,2.051,503087,7.4264,7.2155,
HL_05,18,94.068,503089,6.0216,5.9144,6.144
HL_05,18,79.897,503090,6.0977,5.9816,
HL_05,18,59.733,503091,7.3517,7.1918,
HL_05,18,51.286,503092,7.4633,7.3012,
HL_05,18,40.648,503093,7.6079,7.4406,
HL_05,18,31.321,503094,7.7133,7.5447,
HL_05,18,20.380,503095,7.8746,7.7208,
HL_05,18,9.943,503096,7.8701,7.7048,7.94,7.937
HL_05,18,2.889,503097,7.8648,7.6998,
HL_05.5,20,405.786,503099,4.3271,4.2481,4.418,4.421
HL_05.5,20,252.416,503100,4.472,4.4273,4.807
HL_05.5,20,101.974,503101,6.0183,5.9217,
HL_05.5,20,80.392,503102,6.9951,6.844,
HL_05.5,20,60.598,503103,7.8539,7.6863,
HL_05.5,20,50.145,503104,8.0896,7.8805,
HL_05.5,20,41.011,503105,8.1154,7.9414,
HL_05.5,20,30.963,503106,8.1061,7.9378,
HL_05.5,20,20.670,503107,8.1103,7.9467,
HL_05.5,20,9.677,503108,8.1103,7.936,8.063
HL_05.5,20,4.639,503109,8.1165,7.9498,
HL_06,22,1122.566,503111,5.9357,5.8577,6.096
HL_06,22,998.581,503112,5.84,5.7801,6.015
HL_06,22,899.286,503113,5.8184,5.7419,5.971
HL_06,22,750.697,503114,5.6617,5.5902,5.8
HL_06,22,503.353,503115,4.6951,4.6303,4.804
HL_06,22,251.331,503116,4.6978,4.6496,4.84
HL_06,22,151.287,503117,5.7092,5.6319,
HL_06,22,100.216,503118,6.4824,6.3631,
HL_06,22,79.621,503119,6.9182,6.7708,
HL_06,22,59.884,503120,7.7639,7.5775,
HL_06,22,49.386,503121,7.9251,7.755,7.971
HL_06,22,40.907,503122,8.0018,7.8333,
HL_06,23,30.583,503123,8.2163,8.0292,
HL_06,23,20.354,503124,8.1193,7.9482,
HL_06,23,10.730,503125,8.1181,7.9465,8.164,8.175
HL_06,23,3.692,503126,8.1163,7.9419,
HL_07,25,1498.891,503128,6.0295,5.9788,6.2
HL_07,25,1252.084,503129,6.0177,5.9502,6.169
HL_07,25,1001.723,503130,5.8919,5.8357,6.034
HL_07,25,751.002,503131,5.6657,5.5955,5.779
HL_07,25,502.022,503132,5.0134,4.9626,5.146
HL_07,25,250.347,503133,5.2676,5.214,5.356
HL_07,25,149.615,503134,4.1772,4.1258,
HL_07,25,99.332,503135,6.1801,6.0762,
HL_07,25,81.501,503136,6.5761,6.4594,
HL_07,25,59.818,503137,7.2655,7.1224,
HL_07,25,48.697,503138,7.5115,7.3761,7.603
HL_07,25,41.003,503139,7.7703,7.6457,
HL_07,26,28.233,503140,8.2992,8.1469,
HL_07,26,18.236,503141,8.305,8.1418,
HL_07,26,10.548,503142,8.3204,8.1576,8.367
HL_07,26,5.750,503143,8.3182,8.1601,
HL_06.7,29,1497.140,503145,5.9677,5.9122,6.168
HL_06.7,29,1258.564,503146,5.9841,5.9222,6.142
HL_06.7,29,1003.530,503147,5.8267,5.7775,5.967
HL_06.7,29,755.325,503148,5.2711,5.216,5.41
HL_06.7,29,501.765,503149,4.8304,4.7838,4.963
HL_06.7,29,250.673,503150,5.3446,5.3014,5.537
HL_06.7,29,153.637,503151,5.5703,5.5418,
HL_06.7,29,99.086,503152,5.9614,5.8945,
HL_06.7,29,79.400,503153,6.8505,6.7388,
HL_06.7,29,59.174,503154,7.9208,7.7839,
HL_06.7,29,50.529,503155,8.0428,7.8964,8.002
HL_06.7,29,40.021,503156,8.1732,8.0419,
HL_06.7,30,30.925,503157,8.29,8.1478,
HL_06.7,30,19.181,503158,8.391,8.2416,
HL_06.7,30,9.442,503159,8.4094,8.2409,8.421,8.794
HL_06.7,30,4.646,503160,8.3941,8.2292,
HL_06.3,32,1493.619,503162,5.989,5.9382,
HL_06.3,32,993.973,503163,5.8989,5.8284,6.053
HL_06.3,32,749.768,503164,5.7197,5.6579,
HL_06.3,32,510.554,503165,5.0,4.9148,5.1
HL_06.3,32,254.938,503166,5.2176,5.1406,5.292
HL_06.3,32,152.034,503167,4.4971,4.4688,
HL_06.3,32,104.339,503168,5.6424,5.5793,
HL_06.3,32,84.084,503169,6.7713,6.6551,
HL_06.3,32,61.895,503170,7.8385,7.6702,
HL_06.3,32,49.791,503171,8.171,7.9995,
HL_06.3,32,38.696,503172,8.2547,8.0914,
HL_06.3,32,29.420,503173,8.2654,8.1039,
HL_06.3,33,18.742,503174,8.2134,8.062,
HL_06.3,33,10.249,503175,8.239,8.0515,8.287
HL_06.3,33,3.162,503176,8.2239,8.0388,
YL_01,35,69.360,503178,7.3369,7.1649,7.746,7.386
YL_01,35,50.313,503179,7.3544,7.1827,
YL_01,35,40.916,503180,7.3527,7.2083,
YL_01,35,30.533,503181,7.3699,7.2086,
YL_01,35,19.521,503182,7.4064,7.2307,
YL_01,35,9.403,503183,7.4518,7.2753,7.498
YL_01,35,2.915,503184,7.4519,7.277,
YL_02,38,116.661,503186,6.8338,6.7018,6.904
YL_02,38,99.072,503187,6.8496,6.6873,
YL_02,38,82.076,503188,6.8883,6.7478,
YL_02,38,60.132,503189,7.1438,6.9651,
YL_02,38,49.576,503190,7.2026,7.0302,
YL_02,38,40.068,503191,7.2274,7.0571,
YL_02,38,31.173,503192,7.2395,7.0728,
YL_02,38,20.870,503193,7.263,7.1134,
YL_02,38,10.743,503194,7.3058,7.1442,7.338,7.344
YL_02,38,3.945,503195,7.306,7.1362,
YL_03,40,204.433,503197,4.7959,4.7207,5.131,4.877
YL_03,40,151.155,503198,4.945,4.846,
YL_03,40,99.800,503199,6.0471,5.9161,
YL_03,40,81.279,503200,6.5285,6.3864,
YL_03,40,60.562,503201,6.8856,6.7304,
YL_03,40,49.092,503202,7.0098,6.8562,
YL_03,40,40.222,503203,7.19,7.0302,
YL_03,40,30.865,503204,7.2001,7.0433,
YL_03,40,20.025,503205,7.2122,7.0517,
YL_03,40,9.226,503206,7.2246,7.0694,7.277
YL_03,40,4.153,503207,7.2346,7.0647,
YL_04,42,236.477,503209,3.9296,3.8577,4.016
YL_04,42,151.525,503210,4.1074,4.0372,
YL_04,42,99.975,503211,5.0944,4.9933,
YL_04,42,81.737,503212,6.2119,6.0674,
YL_04,42,59.059,503213,7.1038,6.9402,
YL_04,42,50.411,503214,7.1705,7.0099,
YL_04,42,40.264,503215,7.1866,7.0044,
YL_04,42,29.837,503216,7.2415,7.0734,
YL_04,42,20.637,503217,7.2517,7.1121,
YL_04,42,10.530,503218,7.2369,7.0938,7.303,7.306
YL_04,42,3.104,503219,7.2595,7.1034,
YL_05,45,174.205,503221,3.7989,3.7373,4.106,3.893
YL_05,45,150.337,503222,4.1088,4.0314,
YL_05,45,100.900,503223,5.3121,5.1913,
YL_05,45,80.039,503224,5.7651,5.6658,
YL_05,45,60.691,503225,6.5051,6.369,
YL_05,45,49.474,503226,6.7091,6.578,
YL_05,45,39.892,503227,6.9948,6.8522,
YL_05,45,30.037,503228,7.043,6.9037,
YL_05,45,19.915,503229,7.0962,6.9454,
YL_05,45,9.915,503230,7.1089,6.9711,7.184
YL_05,45,2.450,503231,7.1416,6.963,
YL_06,47,123.991,503233,6.1047,5.9841,6.201
YL_06,47,100.939,503234,6.6875,6.5408,
YL_06,47,79.997,503235,6.7402,6.6092,
YL_06,47,59.819,503236,7.015,6.8755,
YL_06,47,50.216,503237,7.015,6.873,
YL_06,47,40.527,503238,7.011,6.8835,
YL_06,47,31.038,503239,7.0393,6.916,
YL_06,47,19.411,503240,7.059,6.9199,
YL_06,47,10.274,503241,7.0494,6.9277,7.112,7.104
YL_06,47,2.367,503242,7.032,6.8925,
YL_07,49,140.308,503244,4.5488,4.4569,4.639,4.663
YL_07,49,100.938,503245,5.8739,5.7477,
YL_07,49,81.434,503246,6.6526,6.4941,
YL_07,49,60.457,503247,7.115,6.9632,
YL_07,49,49.428,503248,7.142,6.9994,
YL_07,49,39.829,503249,7.1907,7.0574,
YL_07,49,29.851,503250,7.2495,7.0933,
YL_07,49,19.834,503251,7.2514,7.101,
YL_07,49,10.410,503252,7.2486,7.0871,7.3
YL_07,49,2.450,503253,7.25,7.0816,
YL_08,51,135.508,503255,4.1519,4.0685,4.25
YL_08,51,100.788,503256,4.7505,4.6709,
YL_08,51,79.966,503257,5.525,5.4137,
YL_08,51,59.444,503258,6.5243,6.382,
YL_08,51,50.216,503259,7.051,6.9177,
YL_08,51,40.997,503260,7.1614,7.0107,
YL_08,51,29.708,503261,7.1742,7.0245,
YL_08,51,19.345,503262,7.1669,7.0386,
YL_08,51,9.688,503263,7.1797,7.0387,7.598,7.25
YL_08,51,2.847,503264,7.1889,7.0304,
YL_09,53,82.756,503266,6.0596,5.9398,6.143,6.137
YL_09,53,59.762,503267,6.3863,6.2515,
YL_09,53,49.775,503268,6.6955,6.5559,
YL_09,53,39.609,503269,6.6333,6.4777,
YL_09,53,30.689,503270,6.9181,6.7655,
YL_09,53,19.809,503271,7.0903,6.939,
YL_09,53,9.597,503272,7.1654,7.0001,7.202
YL_09,53,2.586,503273,7.2243,7.0917,
YL_10,55,120.511,503275,5.8765,5.7559,5.963
YL_10,55,80.398,503276,6.9685,6.8244,
YL_10,55,60.324,503277,6.9323,6.7904,
YL_10,55,50.192,503278,6.9668,6.8085,
YL_10,55,40.547,503279,6.9487,6.809,
YL_10,55,29.932,503280,7.0148,6.8737,
YL_10,55,20.061,503281,7.0924,6.9513,
YL_10,55,10.038,503282,7.1841,7.0362,7.191,7.203
YL_10,55,2.314,503283,7.2795,7.1485,
PL_01,57,130.769,503285,4.5149,4.436,4.664,4.641
PL_01,57,100.160,503286,5.6874,5.5767,
PL_01,57,80.077,503287,6.248,6.1138,
PL_01,57,60.383,503288,6.7368,6.5904,
PL_01,57,49.558,503289,6.8029,6.6595,
PL_01,57,39.787,503290,6.8161,6.6814,
PL_01,57,30.130,503291,7.0677,6.915,
PL_01,57,19.693,503292,7.128,6.9735,
PL_01,57,10.079,503293,7.1575,7.0426,7.217
PL_01,57,2.085,503294,7.1784,7.0287,
PL_02,59,159.771,503296,4.4688,4.3878,4.561
PL_02,59,100.787,503297,6.3271,6.1896,
PL_02,59,80.953,503298,6.888,6.7286,
PL_02,59,60.897,503299,7.0687,6.9389,
PL_02,59,50.556,503300,7.1318,6.9885,
PL_02,59,40.683,503301,7.1375,6.9879,
PL_02,59,29.862,503302,7.1604,7.0165,
PL_02,59,20.348,503303,7.1744,7.037,
PL_02,59,10.914,503304,7.1999,7.0837,7.266,7.263
PL_02,59,2.946,503305,7.1942,7.0557,
PL_03,61,168.732,503307,4.5124,4.4308,4.595,4.604
PL_03,61,150.550,503308,4.5279,4.4343,
PL_03,61,100.671,503309,5.7314,5.6172,
PL_03,61,80.733,503310,6.4695,6.3432,
PL_03,61,59.572,503311,6.9096,6.7781,
PL_03,61,49.525,503312,7.1135,6.969,
PL_03,61,41.083,503313,7.1598,7.0018,
PL_03,61,30.799,503314,7.1624,7.0365,
PL_03,61,20.467,503315,7.216,7.0707,
PL_03,61,10.156,503316,7.1854,7.0426,7.257
PL_03,61,3.419,503317,7.1821,7.0513,
PL_04,63,198.086,503319,4.2257,4.1508,4.297
PL_04,63,150.453,503320,4.1662,4.0908,
PL_04,63,100.594,503321,5.8172,5.7043,
PL_04,63,80.129,503322,6.9928,6.8397,
PL_04,63,60.690,503323,7.2017,7.0507,
PL_04,63,50.651,503324,7.2179,7.0883,
PL_04,63,39.508,503325,7.2353,7.0922,
PL_04,63,30.063,503326,7.2686,7.1236,
PL_04,63,20.155,503327,7.3071,7.1561,
PL_04,63,10.529,503328,7.2367,7.0929,7.313,7.32
PL_04,63,3.300,503329,7.2379,7.0904,
PL_05,65,173.733,503331,4.4602,4.3727,4.564,4.637
PL_05,65,100.456,503332,4.4703,4.3943,
PL_05,65,80.257,503333,6.0025,5.8965,
PL_05,65,60.620,503334,6.9172,6.761,
PL_05,65,49.741,503335,7.1279,7.0027,
PL_05,65,40.003,503336,7.2086,7.0615,
PL_05,65,29.969,503337,7.2375,7.099,
PL_05,65,19.675,503338,7.2279,7.0948,
PL_05,65,10.583,503339,7.2744,7.1316,7.338
PL_05,65,2.898,503340,7.2471,7.1303,
PL_06,67,188.634,503342,4.7493,4.6649,4.848
PL_06,67,150.733,503343,5.296,5.2093,
PL_06,67,100.509,503344,5.746,5.647,
PL_06,67,80.155,503345,6.0436,5.935,
PL_06,67,60.836,503346,6.9464,6.7968,
PL_06,67,50.060,503347,7.0767,6.9289,
PL_06,67,39.742,503348,7.115,7.0029,
PL_06,67,30.690,503349,7.2223,7.0702,
PL_06,67,20.197,503350,7.2364,7.1111,
PL_06,67,10.123,503351,7.2126,7.074,7.299,7.29
PL_06,67,3.029,503352,7.2192,7.092,
PL_07,69,285.555,503354,4.4654,4.385,4.624,4.58
PL_07,69,249.868,503355,4.4653,4.384,4.558
PL_07,69,149.969,503356,5.2525,5.16,
PL_07,69,99.762,503357,6.1485,6.0492,
PL_07,69,80.271,503358,6.6879,6.5597,
PL_07,69,59.126,503359,7.1155,6.9777,
PL_07,69,49.917,503360,7.3246,7.1579,
PL_07,69,39.576,503361,7.3312,7.1837,
PL_07,69,30.200,503362,7.3658,7.2256,
PL_07,69,19.387,503363,7.3783,7.2314,
PL_07,69,9.976,503364,7.2758,7.1231,7.336
PL_07,69,2.146,503365,7.2113,7.069,
PL_08,71,324.917,503367,4.4346,4.3596,4.538
PL_08,71,249.555,503368,4.3502,4.2806,4.467
PL_08,71,149.914,503369,4.7189,4.6518,
PL_08,71,99.762,503370,5.5002,5.4073,
PL_08,71,79.583,503371,5.661,5.5662,
PL_08,71,59.657,503372,6.2753,6.1417,
PL_08,71,49.674,503373,6.7459,6.6064,
PL_08,71,40.771,503374,6.9959,6.8404,
PL_08,71,30.263,503375,7.1999,7.0636,
PL_08,71,19.963,503376,7.2958,7.1395,
PL_08,71,9.454,503377,7.3183,7.1843,7.721,7.386
PL_08,71,2.736,503378,7.302,7.1633,
PL_09,73,264.156,503380,4.8045,4.7234,4.905,4.895
PL_09,73,249.628,503381,4.7973,4.7154,4.885
PL_09,73,150.615,503382,4.7556,4.6893,
PL_09,73,99.556,503383,5.9902,5.9041,
PL_09,73,79.149,503384,6.2994,6.2001,
PL_09,73,59.906,503385,6.5194,6.3989,
PL_09,73,49.958,503386,6.7389,6.6183,
PL_09,73,40.360,503387,6.975,6.8649,
PL_09,73,29.914,503388,7.212,7.085,
PL_09,73,19.921,503389,7.6617,7.5367,
PL_09,73,9.730,503390,7.6954,7.5485,7.761
PL_09,73,2.267,503391,7.7409,7.5973,
HL_02,76,159.012,503394,4.7874,4.7176,4.85,4.851
HL_02,76,99.396,503395,6.0061,5.8922,
HL_02,76,80.249,503396,6.4345,6.309,
HL_02,76,60.772,503397,6.9071,6.7592,
HL_02,76,50.234,503398,7.0986,6.9298,
HL_02,76,40.324,503399,7.2353,7.1062,
HL_02,76,30.827,503400,7.4199,7.2656,
HL_02,76,20.276,503401,7.9783,7.8335,
HL_02,76,10.305,503402,8.1851,8.0562,8.257
HL_02,76,2.811,503403,8.3003,8.143,
BBL_01,78,63.661,503405,4.5074,7.0341,7.198
BBL_01,78,50.671,503406,4.3294,7.5884,
BBL_01,78,40.688,503407,4.3927,7.8315,
BBL_01,78,30.935,503408,4.3476,7.8814,
BBL_01,78,20.730,503409,4.2396,8.1021,
BBL_01,78,11.036,503410,4.0949,8.225,8.399,8.416
BBL_01,78,2.746,503411,3.9255,8.3327,
BBL_02,80,114.102,503413,7.0362,6.889,7.39,7.058
BBL_02,80,80.001,503414,7.1553,7.0209,
BBL_02,80,60.497,503415,7.27,7.1185,
BBL_02,80,50.680,503416,7.4603,7.3147,
BBL_02,80,40.780,503417,7.5555,7.4503,
BBL_02,80,30.455,503418,7.7697,7.6296,
BBL_02,80,20.739,503419,8.443,8.2927,
BBL_02,80,10.968,503420,8.865,8.7096,8.713
BBL_02,80,2.997,503421,8.7573,8.6024,
BBL_03,82,103.466,503423,6.9573,6.8424,6.995
BBL_03,82,79.891,503424,7.1577,7.0411,
BBL_03,82,60.315,503425,7.5471,7.4134,
BBL_03,82,50.470,503426,7.6488,7.5319,
BBL_03,82,40.245,503427,7.8728,7.7284,
BBL_03,82,30.586,503428,7.9853,7.8853,
BBL_03,82,21.012,503429,8.5238,8.4195,
BBL_03,82,10.839,503430,8.8796,8.7888,8.799,8.796
BBL_03,82,2.215,503431,8.7128,8.6306,
BBL_04,84,96.967,503433,6.8587,6.7604,7.219,6.887
BBL_04,84,79.700,503434,6.8516,6.7711,
BBL_04,84,59.798,503435,6.8542,6.7654,
BBL_04,84,49.936,503436,6.8668,6.7796,
BBL_04,84,39.852,503437,6.9266,6.845,
BBL_04,84,30.240,503438,7.0749,6.9605,
BBL_04,84,20.015,503439,7.5533,7.442,
BBL_04,84,10.217,503440,8.5934,8.5006,8.305
BBL_04,84,2.109,503441,8.8569,8.7745,
BBL_05,86,196.204,503443,4.1655,4.1464,4.264
BBL_05,86,149.924,503444,4.7931,4.761,
BBL_05,86,99.767,503445,5.734,5.7103,
BBL_05,86,80.114,503446,5.981,5.9514,
BBL_05,86,59.215,503447,6.7414,6.6804,
BBL_05,86,50.258,503448,6.7682,6.7035,
BBL_05,86,39.169,503449,7.0593,6.9698,
BBL_05,86,30.327,503450,8.826,8.7371,
BBL_05,86,19.825,503451,8.9819,8.9002,
BBL_05,86,9.946,503452,8.999,8.9243,9.056,9.038
BBL_05,86,2.252,503453,8.938,8.8888,
BBL_06,88,1208.049,503455,5.8852,5.8636,6.03,6.027
BBL_06,88,990.564,503456,5.7668,5.7249,
BBL_06,88,755.677,503457,5.5118,5.5146,
BBL_06,88,507.079,503458,4.8191,4.8113,
BBL_06,88,250.275,503459,3.5502,3.5618,3.676
BBL_06,88,151.508,503460,3.9842,4.0031,
BBL_06,88,100.163,503461,5.5687,5.583,
BBL_06,88,79.979,503462,5.8316,5.8359,
BBL_06,88,60.298,503463,5.7687,5.763,
BBL_06,88,49.696,503464,5.7143,5.7151,
BBL_06,88,40.082,503465,5.6617,5.6692,
BBL_06,88,30.067,503466,5.6943,5.695,
BBL_06,89,19.680,503467,7.6552,7.5245,
BBL_06,89,10.046,503468,8.0729,8.0614,8.073
BBL_06,89,1.846,503469,8.0159,8.0121,
BBL_07,91,1499.382,503471,5.9769,5.9581,6.164
BBL_07,91,1002.433,503472,5.6221,5.6126,
BBL_07,91,752.306,503473,5.4177,5.3981,
BBL_07,91,508.040,503474,5.0669,5.0338,
BBL_07,91,252.076,503475,3.7092,3.7223,3.772
BBL_07,91,153.090,503476,3.8153,3.8079,
BBL_07,91,99.861,503477,4.6519,4.6257,
BBL_07,91,82.576,503478,4.7393,4.7318,
BBL_07,91,60.131,503479,5.8998,5.859,
BBL_07,91,50.076,503480,6.1061,6.0874,
BBL_07,91,39.799,503481,6.315,6.2851,
BBL_07,91,30.402,503482,6.5048,6.4495,
BBL_07,92,19.810,503483,7.625,7.583,
BBL_07,92,9.843,503484,7.9044,7.8613,8.024,8.032
BBL_07,92,2.554,503485,7.9136,7.8736,
NEC_10,94,87.184,503487,5.9751,5.9442,6.071
NEC_10,94,75.162,503488,6.0147,5.97,
NEC_10,94,60.081,503489,6.2349,6.1824,
NEC_10,94,49.957,503490,6.5019,6.4543,
NEC_10,94,40.344,503491,6.8842,6.8248,
NEC_10,94,30.436,503492,7.1691,7.1181,
NEC_10,94,20.724,503493,7.2564,7.192,
NEC_10,94,10.778,503494,7.3638,7.3037,7.423,7.437
NEC_10,94,2.355,503495,7.306,7.2576,
NEC_09,95,91.107,503496,5.5468,5.5065,5.629
NEC_09,95,74.723,503497,5.5585,5.5288,
NEC_09,95,59.885,503498,6.6368,6.5861,
